목표 직업,목표 직업 유형,희망연봉,근로소득,근로시간,적성 및 흥미,전공 관련성,업무 난이도,업무량,개인 발전 가능성,직업 미래 전망,고용 안정성,근무환경,복리후생,회사 규모,출퇴근 거리,일자리의 사회적 평판,업무의 사회적 평판
0.0,0.0,3000,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
0.0,0.0,2200,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4
5.0,1.0,2400,5,5,3,3,1,2,5,4,4,3,5,5,2,2,4
0.0,0.0,2300,5,5,4,3,4,5,4,5,5,5,5,4,5,4,4
0.0,1.0,2000,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4
0.0,0.0,1500,5,5,5,1,5,5,1,1,5,1,1,1,5,1,1
0.0,0.0,2300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,3000,5,3,4,4,3,3,4,4,4,4,4,2,5,2,2
0.0,0.0,2000,5,5,4,4,5,5,4,4,5,5,5,3,4,4,4
0.0,0.0,3000,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4
0.0,0.0,3600,5,5,4,3,2,2,5,5,5,5,5,5,3,1,1
0.0,0.0,2500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2400,4,5,5,4,5,4,4,5,5,5,5,3,3,4,4
0.0,0.0,2500,4,5,5,5,3,3,4,5,5,5,5,4,4,4,4
0.0,0.0,4000,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5
1.0,1.0,2900,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
9.0,1.0,1800,5,5,5,2,4,4,5,5,4,5,5,3,4,4,4
0.0,0.0,2600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5.0,1.0,2000,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4
0.0,0.0,2800,5,5,4,4,4,4,5,5,5,5,5,4,2,4,4
0.0,0.0,1560,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4
5.0,1.0,2400,5,5,4,3,3,4,5,5,5,4,5,3,5,2,2
5.0,1.0,1800,4,3,4,4,3,4,4,4,4,4,4,3,3,3,3
0.0,0.0,2000,5,5,4,3,3,3,4,4,5,4,4,4,4,4,4
0.0,0.0,2400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2000,4,4,4,4,4,4,5,5,4,4,4,2,3,3,3
0.0,0.0,2500,5,5,5,4,4,5,4,2,4,4,4,3,3,4,4
0.0,0.0,2000,4,4,5,4,3,3,5,4,4,4,4,4,4,3,3
0.0,0.0,2000,5,5,5,5,3,3,5,5,5,5,5,3,3,4,4
0.0,0.0,2500,5,5,5,3,3,3,3,5,3,3,3,3,3,3,3
5.0,8.0,2000,4,2,5,2,3,4,4,4,3,2,3,2,2,2,3
0.0,0.0,2500,4,4,5,4,3,4,5,5,5,4,4,3,4,3,3
5.0,1.0,2200,5,3,4,2,2,4,4,4,4,4,4,3,5,2,2
0.0,0.0,2000,4,4,4,1,1,3,4,5,5,4,4,1,3,3,3
5.0,1.0,1500,5,5,5,5,4,5,4,4,5,5,5,3,4,3,3
5.0,1.0,1800,4,5,5,5,5,5,3,3,5,4,4,2,5,2,2
0.0,0.0,1800,3,4,4,4,3,3,4,4,4,4,4,3,4,3,3
5.0,1.0,1800,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3
5.0,1.0,2000,5,5,4,3,4,4,4,4,4,5,4,3,4,3,3
5.0,8.0,1200,4,4,5,3,4,4,4,4,4,4,4,3,5,2,2
0.0,0.0,1560,4,4,5,5,4,4,4,5,3,4,4,2,4,3,3
0.0,0.0,1800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,1200,3,4,5,3,3,3,3,3,4,4,3,2,4,3,3
0.0,0.0,2200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5.0,1.0,2500,4,4,5,5,4,4,4,5,5,4,4,3,4,3,3
5.0,1.0,1800,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
5.0,1.0,2400,5,4,4,4,3,4,3,2,4,5,5,3,4,3,3
5.0,1.0,2400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,1800,5,4,4,4,4,5,4,4,4,4,5,3,4,3,3
0.0,0.0,2400,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4
0.0,0.0,2500,5,5,5,5,3,5,5,5,5,5,5,3,5,4,4
0.0,1.0,1300,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3
5.0,1.0,1800,5,5,5,3,4,5,4,4,5,3,3,2,3,2,2
3.0,6.0,4000,5,5,4,4,3,5,3,4,5,5,3,3,3,5,5
5.0,1.0,2000,4,4,5,4,3,4,4,4,4,4,4,2,3,3,3
0.0,0.0,2000,4,5,4,2,4,3,5,4,4,4,5,3,3,4,4
0.0,0.0,2800,4,3,5,5,4,4,4,4,4,4,4,4,3,4,3
0.0,0.0,2400,4,4,4,4,3,4,4,4,4,3,4,2,3,3,3
5.0,8.0,1800,5,5,5,5,5,5,5,5,4,5,5,2,3,2,2
0.0,0.0,1800,4,4,5,1,2,4,5,5,4,4,3,3,2,2,2
0.0,0.0,1800,5,5,5,5,5,3,5,5,3,3,3,2,4,5,5
0.0,0.0,1300,4,4,5,4,4,4,5,3,4,4,4,2,4,2,2
0.0,0.0,1200,4,4,4,3,3,4,5,5,5,4,4,1,3,3,3
5.0,1.0,2000,5,4,4,2,3,4,5,5,4,4,5,3,4,3,3
0.0,0.0,1800,4,4,4,4,3,3,4,4,4,4,4,4,5,3,3
0.0,0.0,1500,4,4,4,4,3,3,4,4,4,4,4,2,3,3,3
5.0,1.0,1800,4,4,5,4,3,3,5,5,5,5,5,5,5,5,5
5.0,1.0,2000,5,4,4,4,3,3,4,3,4,3,3,3,4,3,3
0.0,0.0,2200,5,5,5,3,5,4,3,4,4,4,3,3,4,3,3
5.0,1.0,2000,4,4,5,3,3,3,4,4,3,5,2,2,5,3,3
0.0,0.0,2500,5,5,5,5,5,5,4,2,3,4,4,5,2,2,2
0.0,0.0,2000,5,5,5,3,4,5,4,3,5,5,5,5,5,3,3
0.0,0.0,1800,4,3,5,3,3,4,5,5,3,3,3,3,3,3,3
0.0,0.0,1800,4,4,4,4,2,3,4,1,4,4,4,4,5,3,3
0.0,10.0,2000,3,5,4,3,3,4,3,4,3,3,3,3,4,3,3
0.0,0.0,3000,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2
5.0,1.0,1700,5,5,5,5,5,3,5,5,5,5,5,3,5,2,2
6.0,1.0,2000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,1800,5,5,4,3,3,5,5,4,4,4,5,3,3,2,3
5.0,1.0,1800,5,5,5,3,3,3,3,4,5,3,4,2,3,2,2
5.0,1.0,2200,3,4,5,5,3,3,5,4,5,3,3,3,4,1,1
5.0,1.0,2000,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3
0.0,0.0,1200,5,5,4,3,4,5,4,3,5,5,5,2,4,2,1
0.0,0.0,1800,5,5,4,4,4,4,5,3,4,4,4,3,3,3,3
0.0,0.0,2400,5,4,3,3,3,4,5,5,5,4,5,4,5,3,3
5.0,1.0,2000,5,3,4,4,4,4,5,5,5,4,4,4,3,3,3
0.0,0.0,2000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5.0,1.0,1800,5,5,4,1,4,4,5,5,3,4,4,3,3,2,2
0.0,0.0,1800,5,4,5,3,3,4,5,3,4,4,4,3,4,3,3
0.0,0.0,2400,5,5,5,4,3,3,4,5,3,3,3,3,3,4,4
5.0,1.0,1800,5,5,5,5,4,4,4,4,4,5,5,3,5,3,3
0.0,0.0,2000,3,5,4,1,3,3,3,4,4,3,3,2,5,1,1
5.0,1.0,2000,4,3,4,3,4,3,4,4,4,4,4,3,3,3,3
0.0,0.0,1800,5,5,5,4,4,4,4,4,4,4,4,2,3,3,3
0.0,0.0,1800,4,5,3,2,4,5,4,4,5,4,3,3,5,3,3
5.0,1.0,1900,5,4,4,3,3,4,4,4,3,4,3,3,4,3,3
0.0,0.0,2000,5,5,4,4,4,4,5,3,4,4,4,5,5,5,5
0.0,0.0,2000,5,5,5,5,4,4,5,5,4,4,5,4,4,4,4
0.0,0.0,1800,5,5,5,1,1,3,5,5,4,5,5,1,5,1,1
0.0,0.0,2300,4,5,5,1,4,4,3,3,3,4,4,2,5,1,1
0.0,0.0,1400,4,2,5,1,3,3,5,4,3,3,3,2,3,3,3
0.0,0.0,1800,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4
0.0,0.0,1800,3,4,4,3,3,3,3,4,4,4,4,3,3,3,3
0.0,0.0,2200,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
0.0,0.0,2400,5,5,4,3,4,4,4,4,4,5,3,3,4,3,3
0.0,0.0,1500,5,5,5,2,5,5,5,5,5,5,5,5,5,2,2
5.0,1.0,1000,5,4,5,5,3,3,4,4,4,4,5,3,3,3,3
5.0,1.0,2000,4,4,4,4,4,5,4,4,5,5,5,4,4,3,3
5.0,1.0,1800,5,5,4,4,3,5,4,4,4,5,5,3,4,3,3
0.0,0.0,2000,5,5,4,3,3,4,4,4,4,5,5,4,4,3,3
0.0,10.0,2000,4,4,5,5,3,2,3,5,5,3,4,5,2,5,5
0.0,0.0,2400,4,4,5,4,4,4,5,4,3,4,3,3,5,3,3
9.0,1.0,2400,5,5,4,4,3,4,4,5,5,5,4,4,4,4,4
1.0,1.0,1700,5,5,4,1,3,4,5,5,5,5,5,5,1,4,4
0.0,0.0,3000,5,4,4,2,3,4,5,3,5,4,3,3,4,4,4
5.0,1.0,1800,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4
0.0,0.0,1680,5,4,4,3,3,3,3,4,4,5,4,2,5,3,3
5.0,1.0,1800,4,5,5,5,3,4,5,4,5,5,5,1,3,4,4
0.0,1.0,1300,5,5,5,4,4,5,5,5,4,5,3,2,3,3,3
0.0,0.0,1000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1.0,1.0,2400,5,5,4,3,4,4,5,5,5,5,5,5,5,4,5
5.0,1.0,1800,5,5,3,3,3,3,5,5,4,5,5,4,5,4,2
0.0,0.0,2000,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
0.0,0.0,2000,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4
0.0,0.0,2000,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2
1.0,5.0,2500,3,4,4,2,3,3,4,4,5,4,4,2,1,2,2
5.0,1.0,2500,4,4,5,3,2,4,3,3,5,3,3,3,4,3,3
0.0,0.0,2200,4,5,5,4,4,4,5,5,5,5,4,3,4,4,4
0.0,0.0,3000,5,5,4,1,2,5,2,2,2,3,3,3,3,2,2
0.0,0.0,2400,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4
0.0,0.0,2400,5,5,5,3,5,5,5,5,5,5,5,2,5,3,3
0.0,1.0,2400,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5
5.0,8.0,2000,5,5,5,5,4,4,5,5,5,5,5,2,4,4,4
0.0,0.0,1800,4,4,4,3,3,3,3,4,4,4,4,4,5,3,3
0.0,0.0,2200,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4
0.0,0.0,2500,4,5,5,5,4,4,5,4,5,4,4,4,3,4,4
5.0,1.0,1200,4,4,5,5,5,5,5,5,3,5,3,3,5,5,5
0.0,0.0,2200,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4
0.0,0.0,2000,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6.0,1.0,2000,4,4,3,2,3,3,3,4,4,4,4,3,3,4,3
8.0,1.0,2400,5,5,5,5,3,4,5,2,5,4,5,1,1,1,1
0.0,0.0,2000,5,5,5,3,3,3,5,5,3,5,5,5,5,3,3
0.0,0.0,1800,5,5,5,2,4,4,5,5,5,4,5,1,4,1,1
0.0,0.0,2400,5,5,5,2,3,3,4,4,4,3,5,3,3,4,3
0.0,1.0,3000,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4
0.0,0.0,1800,4,4,4,4,4,3,5,5,4,4,4,3,5,2,2
5.0,1.0,2400,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
0.0,0.0,1200,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3
5.0,1.0,2200,5,5,3,3,3,3,4,4,5,5,5,4,4,3,3
0.0,0.0,1800,5,5,4,4,4,5,4,5,5,5,5,4,4,5,5
0.0,0.0,1500,3,4,4,3,3,4,4,5,4,4,4,2,4,2,2
0.0,0.0,2000,5,4,4,2,3,3,4,4,4,4,4,3,2,4,4
5.0,1.0,2400,5,5,4,3,3,5,4,3,5,5,5,3,5,5,5
0.0,0.0,2000,5,5,5,4,4,4,4,5,4,5,4,3,4,3,3
0.0,0.0,2000,5,4,5,3,3,4,4,5,4,3,3,3,4,3,3
5.0,1.0,1800,4,4,5,4,4,4,5,5,5,4,4,3,3,4,4
0.0,0.0,2000,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
0.0,0.0,3000,5,5,5,2,4,5,5,5,5,5,5,2,5,2,2
0.0,0.0,2000,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3
0.0,10.0,2500,5,5,3,4,4,4,4,4,5,4,4,3,3,3,4
0.0,0.0,2000,5,5,5,2,3,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2200,3,4,4,4,4,4,5,4,4,4,4,3,4,3,3
0.0,0.0,2400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2500,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4
0.0,0.0,2000,5,4,4,3,3,4,4,5,4,4,5,2,4,2,2
5.0,2.0,3500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2000,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2
2.0,1.0,2400,3,3,4,3,2,2,5,5,5,5,5,3,4,3,3
0.0,0.0,1500,5,5,5,3,4,5,5,5,5,5,5,3,3,3,3
0.0,0.0,2500,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4
6.0,1.0,1000,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3
6.0,1.0,4800,5,5,5,2,4,4,3,3,3,4,5,2,3,3,3
0.0,0.0,2000,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3
0.0,0.0,1400,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3
6.0,1.0,1200,4,4,4,3,3,3,4,4,3,4,3,1,3,3,3
0.0,0.0,2000,4,5,4,4,3,4,3,3,5,5,5,5,5,2,2
0.0,0.0,2400,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3
5.0,1.0,1800,5,5,5,3,4,3,4,4,4,4,4,3,4,3,3
0.0,0.0,1800,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4
0.0,0.0,2600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2000,4,3,3,3,3,2,2,4,4,3,3,2,2,2,2
0.0,0.0,2000,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4
0.0,0.0,2200,4,2,5,2,3,5,4,5,4,2,3,4,3,5,5
0.0,0.0,3000,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3
5.0,1.0,2400,5,5,5,5,4,4,5,5,4,3,4,2,3,2,3
0.0,0.0,2000,4,4,5,5,4,3,5,5,5,4,4,2,2,2,2
0.0,0.0,3000,3,3,3,3,3,4,3,4,5,5,3,3,3,4,3
5.0,1.0,2000,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4
5.0,1.0,2300,4,4,5,5,4,4,4,4,4,4,4,3,5,4,4
0.0,1.0,3000,5,5,5,5,4,5,5,5,5,5,5,2,2,2,2
0.0,10.0,1200,5,4,4,2,4,5,4,3,4,4,4,2,4,2,2
5.0,8.0,2400,5,5,3,2,3,5,2,4,4,5,5,3,5,1,1
0.0,0.0,3400,5,5,5,5,5,5,5,5,3,5,5,1,3,1,1
0.0,0.0,1800,3,4,4,5,3,4,4,4,5,4,3,2,2,3,3
5.0,1.0,1500,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3
0.0,0.0,1800,5,5,5,3,3,5,4,5,3,5,3,1,4,2,2
0.0,0.0,2000,5,5,3,4,3,3,2,3,4,4,4,2,5,3,3
0.0,0.0,2500,4,5,5,4,4,3,4,4,3,4,5,4,3,4,4
5.0,1.0,2500,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5
0.0,1.0,1800,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
5.0,1.0,2800,5,4,5,5,5,4,4,5,5,4,4,3,3,4,4
0.0,0.0,1800,4,5,5,4,4,5,3,4,5,4,4,2,4,2,2
0.0,0.0,1500,5,5,4,5,4,4,5,5,5,5,5,5,3,2,3
5.0,1.0,2000,5,5,4,4,3,5,2,3,4,5,5,3,5,3,3
0.0,0.0,2400,5,5,4,4,4,4,4,4,5,4,4,4,3,4,4
5.0,5.0,3000,4,5,5,5,4,3,4,4,3,4,4,4,4,4,4
6.0,1.0,3000,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
3.0,6.0,2000,4,4,5,5,3,4,5,4,4,4,4,3,3,3,3
0.0,0.0,2400,5,4,5,1,3,3,4,5,4,3,2,2,1,3,3
0.0,0.0,2500,5,5,5,4,4,4,4,3,5,5,5,3,5,3,3
0.0,0.0,2000,5,5,3,3,3,5,3,5,5,5,5,3,5,3,3
2.0,1.0,1800,3,4,5,2,3,3,5,5,5,5,5,1,3,3,3
0.0,0.0,2800,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5
0.0,0.0,1200,4,4,4,5,3,3,5,5,5,5,5,5,5,5,5
5.0,1.0,2300,5,5,4,3,5,5,4,4,5,5,5,3,5,1,1
0.0,0.0,2200,5,5,4,2,4,5,5,5,5,5,5,2,4,4,4
0.0,0.0,2000,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4
0.0,0.0,2400,4,4,4,1,4,4,4,4,4,4,4,2,4,3,3
5.0,1.0,2500,5,5,5,1,5,5,3,3,5,5,5,4,5,3,4
3.0,1.0,1300,5,5,5,3,3,4,3,4,5,4,4,2,4,4,4
0.0,0.0,2000,5,5,4,3,4,5,4,4,5,5,4,4,2,3,3
0.0,0.0,2400,5,4,5,3,3,5,4,5,5,5,5,1,3,3,3
5.0,1.0,2400,4,3,5,3,3,3,4,4,5,4,3,3,3,3,3
5.0,1.0,2400,4,5,5,5,4,3,4,4,4,5,3,3,3,4,4
2.0,1.0,2000,3,3,5,5,2,4,5,5,3,4,5,2,5,3,3
0.0,0.0,2400,5,4,5,4,3,4,3,4,3,4,3,4,3,4,3
2.0,1.0,2300,5,5,5,3,4,4,4,4,4,4,4,3,4,3,3
2.0,7.0,2400,4,4,5,3,3,3,4,5,5,3,4,2,2,2,1
0.0,0.0,3000,5,5,5,3,3,4,4,5,3,4,5,3,4,3,3
0.0,0.0,2800,4,4,5,5,4,4,5,5,4,4,4,4,3,4,4
0.0,0.0,2400,4,4,4,1,4,4,4,4,4,4,4,4,5,4,4
0.0,0.0,2200,5,5,5,5,3,4,5,5,5,5,5,3,4,4,4
0.0,0.0,3000,5,5,4,4,3,5,5,5,5,5,5,5,5,3,3
2.0,5.0,3000,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3
2.0,2.0,1800,4,4,4,3,3,3,4,3,3,4,4,3,4,3,3
0.0,1.0,3000,4,5,4,4,4,4,5,5,5,5,5,2,5,5,5
5.0,1.0,1600,4,4,5,5,5,4,5,5,4,5,4,4,3,4,4
0.0,0.0,2000,4,4,5,2,3,3,5,4,4,4,4,3,3,4,4
0.0,0.0,2000,5,5,4,3,3,3,4,5,5,5,5,4,4,4,4
0.0,0.0,3500,5,5,4,4,3,4,5,5,4,3,3,2,3,3,3
0.0,0.0,3000,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4
0.0,0.0,2400,4,5,3,1,4,5,4,5,5,5,4,3,4,3,3
5.0,1.0,2600,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
5.0,1.0,2400,4,4,5,5,3,4,5,5,5,4,5,3,3,3,3
0.0,0.0,2000,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4
6.0,1.0,2000,4,4,5,3,2,3,5,4,4,4,4,3,3,5,5
0.0,0.0,2000,5,5,4,3,3,4,4,4,4,3,4,3,4,3,3
0.0,0.0,1800,3,3,4,4,4,4,4,3,4,4,4,3,5,4,4
0.0,0.0,2000,5,5,4,3,3,4,4,4,5,4,4,3,4,4,4
9.0,8.0,1500,5,5,2,2,3,3,4,4,5,4,4,2,3,2,2
0.0,0.0,3000,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5
0.0,0.0,3000,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5
5.0,10.0,2000,5,5,4,4,4,5,4,4,5,4,4,1,2,3,3
0.0,0.0,2000,4,4,5,5,4,4,5,5,5,4,5,4,4,4,4
0.0,0.0,2500,5,4,5,4,2,3,4,3,4,5,5,3,5,4,4
0.0,0.0,1300,4,2,4,4,2,3,4,4,4,4,4,2,2,4,4
0.0,0.0,1000,3,1,5,5,4,2,5,5,5,3,3,1,1,1,1
2.0,1.0,2400,5,5,5,2,4,5,5,4,4,4,3,3,2,3,3
10.0,1.0,5000,5,5,5,4,5,4,4,4,4,4,4,3,5,4,4
0.0,0.0,3000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2400,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7.0,1.0,1000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2000,5,5,5,5,4,5,4,4,5,5,5,5,5,4,4
5.0,8.0,2500,5,5,5,2,3,3,4,4,4,5,4,4,4,3,3
2.0,1.0,2400,4,3,4,4,4,4,5,3,4,3,4,2,2,4,4
0.0,0.0,2500,4,4,3,2,3,4,4,4,5,3,4,3,4,4,4
0.0,0.0,2000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.0,1.0,2400,5,4,5,4,4,4,4,4,3,4,4,4,4,3,3
5.0,1.0,2500,4,4,5,5,3,3,5,5,5,5,5,3,4,4,4
0.0,0.0,1800,4,4,4,4,3,3,4,3,4,4,3,3,4,3,3
0.0,0.0,1700,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4
0.0,1.0,1800,5,5,5,3,3,5,5,5,5,5,5,5,5,3,3
0.0,0.0,2000,5,5,3,1,2,3,4,5,5,3,3,4,1,1,1
5.0,1.0,2400,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2000,4,4,5,4,3,3,3,4,3,3,3,3,4,4,4
0.0,0.0,2000,4,5,3,3,4,4,3,3,5,4,5,3,4,4,4
9.0,1.0,2000,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
0.0,0.0,2000,4,4,5,4,4,4,3,4,4,3,3,3,5,3,3
0.0,0.0,2500,4,4,4,4,2,2,5,4,4,4,3,1,4,3,3
0.0,0.0,2000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0.0,0.0,2000,5,5,4,3,3,4,4,4,4,5,5,4,5,3,3
0.0,0.0,1500,4,4,4,4,4,4,4,4,4,4,3,4,3,3,5
0.0,0.0,1800,4,4,5,4,3,3,5,5,5,4,5,3,4,4,4
0.0,0.0,2000,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
5.0,8.0,2400,5,4,5,3,3,4,4,3,4,4,3,3,5,3,3
5.0,2.0,3000,5,5,5,5,2,5,5,3,4,4,3,4,3,2,2
0.0,0.0,3000,5,4,5,5,3,3,5,5,5,5,5,3,4,3,3
0.0,0.0,2000,5,5,5,5,4,4,4,4,3,4,4,4,5,4,4
5.0,1.0,2200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,1800,5,5,5,5,4,4,5,5,5,5,5,4,4,3,3
5.0,1.0,2000,4,5,4,4,4,4,3,4,4,5,4,3,5,3,3
5.0,1.0,1600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5.0,1.0,1000,4,4,3,2,3,3,4,4,4,4,4,3,4,4,4
0.0,0.0,2700,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2800,4,2,5,5,5,3,2,2,2,2,2,2,2,2,2
0.0,0.0,1500,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3
0.0,0.0,1600,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1
9.0,1.0,3000,4,4,5,3,4,5,5,5,4,3,4,3,3,3,3
5.0,9.0,3000,5,4,5,5,4,4,5,4,5,3,3,3,2,4,4
0.0,0.0,4000,5,4,5,3,3,5,5,5,4,4,4,4,4,4,4
0.0,0.0,1800,5,5,4,3,4,4,3,3,4,5,4,3,4,4,4
0.0,0.0,1500,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
0.0,0.0,1800,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0.0,0.0,2000,5,4,4,3,3,4,5,4,4,4,2,2,2,4,4
5.0,10.0,2400,4,3,3,2,4,4,4,3,3,4,4,2,4,2,2
5.0,1.0,1800,4,4,4,4,3,3,5,4,4,4,4,3,4,3,3
5.0,1.0,2500,5,5,5,5,4,3,5,5,4,4,4,4,5,3,3
5.0,10.0,1700,3,4,4,4,4,3,4,3,4,3,3,3,4,3,3
0.0,1.0,2160,5,5,4,2,3,4,3,3,3,4,4,3,3,2,2
0.0,0.0,1700,5,5,4,2,3,4,3,2,4,5,4,1,4,3,3
3.0,1.0,4000,5,4,5,5,5,5,5,5,5,5,3,5,2,1,1
5.0,1.0,2400,5,4,5,5,4,4,5,5,5,4,4,3,2,3,3
0.0,0.0,2000,5,5,3,3,4,5,3,4,4,4,3,3,4,2,1
5.0,1.0,2000,4,4,5,4,4,5,5,4,4,4,4,3,4,3,3
5.0,1.0,2400,4,4,5,3,4,4,3,3,4,4,4,3,4,4,4
0.0,0.0,2400,5,5,4,3,4,4,3,4,5,3,5,4,5,4,4
0.0,0.0,2400,5,5,5,3,3,4,5,4,4,3,3,3,4,4,4
5.0,1.0,1200,4,4,5,4,3,3,5,4,4,4,5,3,3,3,3
5.0,1.0,1800,5,5,4,3,3,3,3,4,4,4,4,2,5,3,3
5.0,1.0,1500,5,4,5,4,4,5,5,4,4,4,5,3,4,1,1
0.0,0.0,2400,5,5,5,3,3,4,4,3,5,5,3,3,3,3,3
0.0,0.0,2000,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4
0.0,1.0,1800,4,4,4,4,2,4,5,5,3,4,4,2,4,3,3
5.0,8.0,3000,4,4,5,4,3,3,4,5,4,4,3,1,2,3,3
0.0,0.0,3500,5,5,5,2,4,5,5,3,4,4,4,3,3,3,3
0.0,0.0,2000,5,5,5,5,5,4,4,5,5,5,5,4,4,3,3
0.0,0.0,2400,5,4,5,5,3,3,5,4,4,4,3,5,4,4,4
0.0,0.0,2400,5,3,5,5,4,3,5,4,4,4,4,3,3,3,3
0.0,0.0,1800,4,5,5,5,4,3,5,3,3,4,3,3,2,4,4
0.0,0.0,1800,5,4,5,3,4,3,3,3,4,4,4,3,4,3,3
5.0,1.0,1800,5,1,5,5,1,1,5,5,5,5,5,1,1,5,5
0.0,0.0,1440,5,5,5,4,4,4,5,5,5,5,5,3,4,5,5
0.0,0.0,1500,5,5,3,3,3,5,3,3,5,3,5,4,5,3,3
5.0,1.0,1500,4,5,5,5,4,3,5,5,4,5,3,2,3,2,2
0.0,0.0,1800,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4
5.0,1.0,2000,5,5,5,4,4,4,4,4,5,5,5,3,5,4,4
5.0,1.0,2800,5,3,4,4,4,3,5,2,3,3,3,3,5,3,3
5.0,1.0,2500,5,5,3,4,4,4,5,5,3,3,5,2,3,3,3
